title,location,mileage,price,url
2004 Nissan 350Z ,"Papakura, Auckland","115,000 km","Reserve not met $10,000",https://www.trademe.co.nz/a/motors/cars/nissan/350z/listing/5405315954?rsqid=52f48aac401344c29d7eab6942dc088c-001
2005 Nissan 350Z,"Christchurch City, Canterbury","185,000 km","Asking price $14,500",https://www.trademe.co.nz/a/motors/cars/nissan/350z/listing/5411927628?rsqid=52f48aac401344c29d7eab6942dc088c-001
2006 Nissan 350Z ,"Auckland City, Auckland","168,021 km","Asking price $10,000",https://www.trademe.co.nz/a/motors/cars/nissan/350z/listing/5360287561?rsqid=52f48aac401344c29d7eab6942dc088c-001
2003 Nissan 350Z ,"New Lynn, Auckland","67,762 km","Asking price $13,800",https://www.trademe.co.nz/a/motors/cars/nissan/350z/listing/5313524841?rsqid=52f48aac401344c29d7eab6942dc088c-001
2002 Nissan Fairlady ,"Christchurch, Canterbury","83,608 km","Asking price $15,990",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5155785311?rsqid=52f48aac401344c29d7eab6942dc088c-001
2002 Nissan Fairlady ,"Auckland, Auckland","47,100 km","Asking price $15,000",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5401410494?rsqid=52f48aac401344c29d7eab6942dc088c-001
2006 Nissan 350Z,"Rotorua, Bay of Plenty","125,000 km","Or near offer $12,777",https://www.trademe.co.nz/a/motors/cars/nissan/350z/listing/5399578908?rsqid=52f48aac401344c29d7eab6942dc088c-001
2004 Nissan 350Z,"Warkworth, Auckland","101,000 km","Asking price $16,500",https://www.trademe.co.nz/a/motors/cars/nissan/350z/listing/5328191175?rsqid=52f48aac401344c29d7eab6942dc088c-001
2002 Nissan 350Z ,"Christchurch City, Canterbury","113,000 km","Asking price $10,500",https://www.trademe.co.nz/a/motors/cars/nissan/350z/listing/5340561933?rsqid=52f48aac401344c29d7eab6942dc088c-001
2006 Nissan 350Z ,"Ashburton, Canterbury","83,000 km","Asking price $16,995",https://www.trademe.co.nz/a/motors/cars/nissan/350z/listing/5249859980?rsqid=52f48aac401344c29d7eab6942dc088c-001
2010 BMW 335i ,"Auckland, Auckland","124,300 km","Asking price $17,980",https://www.trademe.co.nz/a/motors/cars/bmw/335i/listing/5367007928?rsqid=52f48aac401344c29d7eab6942dc088c-001
2012 Subaru BRZ ,"Whangarei, Northland","88,532 km","Asking price $18,990",https://www.trademe.co.nz/a/motors/cars/subaru/brz/listing/5331757372?rsqid=52f48aac401344c29d7eab6942dc088c-001
2005 Nissan Fairlady ,"Whangarei, Northland","178,515 km","Asking price $14,990",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5307811333?rsqid=52f48aac401344c29d7eab6942dc088c-001
2007 Nissan Fairlady ,"Manukau, Auckland","140,962 km","Asking price $18,995",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5294936649?rsqid=52f48aac401344c29d7eab6942dc088c-001
2004 Nissan Fairlady ,"Auckland, Auckland","118,000 km","Asking price $16,999",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5335004532?rsqid=52f48aac401344c29d7eab6942dc088c-001
2004 Nissan 350Z ,"Auckland, Auckland","159,000 km","Asking price $19,995",https://www.trademe.co.nz/a/motors/cars/nissan/350z/listing/5022036189?rsqid=52f48aac401344c29d7eab6942dc088c-001
2004 Nissan Fairlady ,"Auckland, Auckland","154,000 km","Asking price $14,995",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5017980392?rsqid=52f48aac401344c29d7eab6942dc088c-001
2009 Nissan Skyline ,"Auckland, Auckland","155,780 km","Asking price $13,995",https://www.trademe.co.nz/a/motors/cars/nissan/skyline/listing/5364702327?rsqid=52f48aac401344c29d7eab6942dc088c-001
2008 Nissan Skyline,"Auckland, Auckland","110,998 km","Asking price $13,995",https://www.trademe.co.nz/a/motors/cars/nissan/skyline/listing/5364702310?rsqid=52f48aac401344c29d7eab6942dc088c-001
2005 Nissan Fairlady ,"Auckland, Auckland","157,120 km","Asking price $17,995",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5370277628?rsqid=52f48aac401344c29d7eab6942dc088c-001
2007 Lexus IS 350,"Auckland, Auckland","149,140 km","Asking price $13,995",https://www.trademe.co.nz/a/motors/cars/lexus/is-350/listing/5363286964?rsqid=52f48aac401344c29d7eab6942dc088c-001
2012 Ford Falcon ,"Auckland, Auckland","178,501 km","Asking price $14,990",https://www.trademe.co.nz/a/motors/cars/ford/falcon/listing/5391514471?rsqid=52f48aac401344c29d7eab6942dc088c-001
